_changetype,_CUSTOMER1_FISCHER_ROLES_ALUM_VIEW.BANNER_ID,_CUSTOMER1_FISCHER_ROLES_ALUM_VIEW.ROLE
add,A00008235,ALUM
add,A00008256,ALUM
add,A00008263,ALUM
add,A00008298,ALUM
add,A00008400,ALUM
add,A00008451,ALUM
add,A00008584,ALUM
add,A00008585,ALUM
add,A00008639,ALUM
add,A00008647,ALUM
add,A00008650,ALUM
add,A00008669,ALUM
add,A00008681,ALUM
add,A00008728,ALUM
add,A00008737,ALUM
add,A00008822,ALUM
add,A00008889,ALUM
add,A00008946,ALUM
add,A00008983,ALUM
add,A00008986,ALUM
add,A00009029,ALUM
add,A00009067,ALUM
add,A00009106,ALUM
add,A00009173,ALUM
add,A00009185,ALUM
add,A00009196,ALUM
add,A00009372,ALUM
add,A00009525,ALUM
add,A00009674,ALUM
add,A00009813,ALUM
add,A00009863,ALUM
add,A00009932,ALUM
add,A00009935,ALUM
add,A00009950,ALUM
add,A00009953,ALUM
add,A00009976,ALUM
add,A00010070,ALUM
add,A00010074,ALUM
add,A00010091,ALUM
add,A00010118,ALUM
add,A00010145,ALUM
add,A00010151,ALUM
add,A00010159,ALUM
add,A00010182,ALUM
add,A00010547,ALUM
add,A00010627,ALUM
add,A00010831,ALUM
add,A00010846,ALUM
add,A00011006,ALUM
add,A00011380,ALUM
add,A00011382,ALUM
add,A00011464,ALUM
add,A00011466,ALUM
add,A00011468,ALUM
add,A00011471,ALUM
add,A00011472,ALUM
add,A00011475,ALUM
add,A00011476,ALUM
add,A00011478,ALUM
add,A00011483,ALUM
add,A00011522,ALUM
add,A00011524,ALUM
add,A00011540,ALUM
add,A00011550,ALUM
add,A00011555,ALUM
add,A00011632,ALUM
add,A00011660,ALUM
add,A00011664,ALUM
add,A00011665,ALUM
add,A00011681,ALUM
add,A00011707,ALUM
add,A00011722,ALUM
add,A00011818,ALUM
add,A00011829,ALUM
add,A00011851,ALUM
add,A00011927,ALUM
add,A00011978,ALUM
add,A00011980,ALUM
add,A00012017,ALUM
add,A00012020,ALUM
add,A00012034,ALUM
add,A00012040,ALUM
add,A00012046,ALUM
add,A00012049,ALUM
add,A00012074,ALUM
add,A00012076,ALUM
add,A00012082,ALUM
add,A00012095,ALUM
add,A00012293,ALUM
add,A00012308,ALUM
add,A00012396,ALUM
add,A00012436,ALUM
add,A00012547,ALUM
add,A00012594,ALUM
add,A00012628,ALUM
add,A00012649,ALUM
add,A00012663,ALUM
add,A00012666,ALUM
add,A00012695,ALUM
add,A00012724,ALUM
add,A00012830,ALUM
add,A00012844,ALUM
add,A00012850,ALUM
add,A00012858,ALUM
add,A00012885,ALUM
add,A00012896,ALUM
add,A00012904,ALUM
add,A00012909,ALUM
add,A00013150,ALUM
add,A00013398,ALUM
add,A00013407,ALUM
add,A00013438,ALUM
add,A00013926,ALUM
add,A00014233,ALUM
add,A00014299,ALUM
add,A00014304,ALUM
add,A00014411,ALUM
add,A00014417,ALUM
add,A00014481,ALUM
add,A00014571,ALUM
add,A00014649,ALUM
add,A00014786,ALUM
add,A00014967,ALUM
add,A00015031,ALUM
add,A00015036,ALUM
add,A00015046,ALUM
add,A00015047,ALUM
add,A00015048,ALUM
add,A00015050,ALUM
add,A00015051,ALUM
add,A00015052,ALUM
add,A00015056,ALUM
add,A00015057,ALUM
add,A00015059,ALUM
add,A00015085,ALUM
add,A00015099,ALUM
add,A00015115,ALUM
add,A00015151,ALUM
add,A00015256,ALUM
add,A00015263,ALUM
add,A00015338,ALUM
add,A00015360,ALUM
add,A00015380,ALUM
add,A00015446,ALUM
add,A00015451,ALUM
add,A00015496,ALUM
add,A00015517,ALUM
add,A00015528,ALUM
add,A00015530,ALUM
add,A00015619,ALUM
add,A00015680,ALUM
add,A00015737,ALUM
add,A00015753,ALUM
add,A00015758,ALUM
add,A00015794,ALUM
add,A00015851,ALUM
add,A00015863,ALUM
add,A00015882,ALUM
add,A00015909,ALUM
add,A00015917,ALUM
add,A00015944,ALUM
add,A00015958,ALUM
add,A00016035,ALUM
add,A00016095,ALUM
add,A00016111,ALUM
add,A00016112,ALUM
add,A00016128,ALUM
add,A00016222,ALUM
add,A00016268,ALUM
add,A00016295,ALUM
add,A00016300,ALUM
add,A00016355,ALUM
add,A00016365,ALUM
add,A00016371,ALUM
add,A00016399,ALUM
add,A00016419,ALUM
add,A00016430,ALUM
add,A00016448,ALUM
add,A00016489,ALUM
add,A00016490,ALUM
add,A00016510,ALUM
add,A00016531,ALUM
add,A00016534,ALUM
add,A00016561,ALUM
add,A00016591,ALUM
add,A00016614,ALUM
add,A00016627,ALUM
add,A00016665,ALUM
add,A00016671,ALUM
add,A00016680,ALUM
add,A00016732,ALUM
add,A00016737,ALUM
add,A00016770,ALUM
add,A00016800,ALUM
add,A00016908,ALUM
add,A00016910,ALUM
add,A00016912,ALUM
add,A00016914,ALUM
add,A00016916,ALUM
add,A00016917,ALUM
add,A00017006,ALUM
add,A00017092,ALUM
add,A00017099,ALUM
add,A00017104,ALUM
add,A00017182,ALUM
add,A00017183,ALUM
add,A00017212,ALUM
add,A00017254,ALUM
add,A00017320,ALUM
add,A00017372,ALUM
add,A00017413,ALUM
add,A00017428,ALUM
add,A00017488,ALUM
add,A00017489,ALUM
add,A00017521,ALUM
add,A00017689,ALUM
add,A00017696,ALUM
add,A00017706,ALUM
add,A00017719,ALUM
add,A00017757,ALUM
add,A00017853,ALUM
add,A00017972,ALUM
add,A00017983,ALUM
add,A00017989,ALUM
add,A00017995,ALUM
add,A00017998,ALUM
add,A00018012,ALUM
add,A00018022,ALUM
add,A00018034,ALUM
add,A00018064,ALUM
add,A00018074,ALUM
add,A00018076,ALUM
add,A00018118,ALUM
add,A00018254,ALUM
add,A00018257,ALUM
